# paramters
N, 2, rho, 1/4, boundaries, "(o,o)"

# integrated
Lz, Lyx, I, I err
32, 128, 0.1634089, 0.0000011
24, 96, 0.1634090, 0.0000011
16, 64, 0.1633990, 0.0000010
12, 48, 0.1633821, 0.0000012
10, 40, 0.1633608, 0.0000019
8, 32, 0.1633124, 0.0000018
