# paramters
N, 3, rho, 1, boundaries, alpha=3pi/8

# integrated
Lz, Lyx, I, I err
8, 8, 0.263591, 0.000007
12, 12, 0.262201, 0.000005
16, 16, 0.261853, 0.000004
24, 24, 0.2616667, 0.0000026
32, 32, 0.2616203, 0.0000031
48, 48, 0.2615978, 0.0000021
