# paramters
N, 4, rho, 1, boundaries, alpha=3pi/4

# integrated
Lz, Lyx, I, I err
8, 8, 0.381206, 0.000018
12, 12, 0.372085, 0.000013
16, 16, 0.369745, 0.000010
24, 24, 0.368538, 0.000007
32, 32, 0.368244, 0.000005
48, 48, 0.3680794, 0.0000034
