# paramters
N, 2, rho, 1/4, boundaries, "(+,o)"

# integrated
Lz, Lyx, I, I err
8, 32, 0.164292, 0.000005
12, 48, 0.163687, 0.000004
16, 64, 0.1635280, 0.0000027
24, 96, 0.1634469, 0.0000026
32, 128, 0.1634276, 0.0000025
