# paramters
N, 4, rho, 1, boundaries, alpha=0

# integrated
Lz, Lyx, I, I err
8, 8, 0.366124, 0.000011
12, 12, 0.367396, 0.000011
16, 16, 0.367747, 0.000008
24, 24, 0.367934, 0.000006
32, 32, 0.367978, 0.000004
48, 48, 0.3680031, 0.0000028
