# paramters
N, 4, rho, 1, boundaries, "(e,o)"

# integrated
Lz, Lyx, I, I err
48, 48, 0.368033, 0.000004
32, 32, 0.368062, 0.000006
24, 24, 0.368111, 0.000008
16, 16, 0.368362, 0.000008
12, 12, 0.368882, 0.000008
10, 10, 0.369494, 0.000009
8, 8, 0.371005, 0.000012
