# paramters
N, 2, rho, 1, boundaries, alpha=pi

# integrated
Lz, Lyx, I, I err
8, 8, 0.175025, 0.000005
12, 12, 0.167067, 0.000004
16, 16, 0.1649985, 0.0000030
24, 24, 0.1639021, 0.0000032
32, 32, 0.1636213, 0.0000024
48, 48, 0.1634738, 0.0000017
