# paramters
N, 4, rho, 1/4, boundaries, alpha=pi/2

# integrated
Lz, Lyx, I, I err
8, 32, 0.372788, 0.000007
12, 48, 0.369493, 0.000005
16, 64, 0.368655, 0.000004
24, 96, 0.3682087, 0.0000034
32, 128, 0.3680953, 0.0000033
