# paramters
N, 4, rho, 1/4, boundaries, alpha=0

# integrated
Lz, Lyx, I, I err
8, 32, 0.365405, 0.000007
12, 48, 0.367200, 0.000005
16, 64, 0.367669, 0.000004
24, 96, 0.3679139, 0.0000034
32, 128, 0.3679697, 0.0000025
