# paramters
N, 3, rho, 1/4, boundaries, alpha=3pi/4

# integrated
Lz, Lyx, I, I err
8, 32, 0.271553, 0.000006
12, 48, 0.264717, 0.000005
16, 64, 0.2629356, 0.0000035
24, 96, 0.2619966, 0.0000033
32, 128, 0.2617639, 0.0000025
