# paramters
N, 2, rho, 1, boundaries, "(e,o)"

# integrated
Lz, Lyx, I, I err
8, 8, 0.165290, 0.000007
12, 12, 0.163942, 0.000006
16, 16, 0.163639, 0.000004
24, 24, 0.1634808, 0.0000028
32, 32, 0.1634391, 0.0000022
48, 48, 0.1634200, 0.0000018
