# paramters
N, 3, rho, 1/4, boundaries, alpha=pi/2

# integrated
Lz, Lyx, I, I err
8, 32, 0.265576, 0.000006
12, 48, 0.262831, 0.000005
16, 64, 0.2621325, 0.0000035
24, 96, 0.2617571, 0.0000033
32, 128, 0.2616599, 0.0000032
