# paramters
N, 2, rho, 1, boundaries, alpha=0

# integrated
Lz, Lyx, I, I err
8, 8, 0.162001, 0.000007
12, 12, 0.162956, 0.000005
16, 16, 0.163212, 0.000004
24, 24, 0.1633531, 0.0000024
32, 32, 0.1633875, 0.0000028
40, 40, 0.1633956, 0.0000023
48, 48, 0.1634032, 0.0000019
