# paramters
N, 4, rho, 1, boundaries, alpha=pi

# integrated
Lz, Lyx, I, I err
8, 8, 0.385958, 0.000010
12, 12, 0.373546, 0.000011
16, 16, 0.370386, 0.000008
24, 24, 0.368735, 0.000006
32, 32, 0.368320, 0.000004
48, 48, 0.3681017, 0.0000028
