# paramters
N, 3, rho, 1/4, boundaries, alpha=pi/4

# integrated
Lz, Lyx, I, I err
8, 32, 0.261076, 0.000005
12, 48, 0.261432, 0.000004
16, 64, 0.2615218, 0.0000030
24, 96, 0.2615705, 0.0000028
32, 128, 0.2615764, 0.0000021
