# paramters
N, 4, rho, 1, boundaries, "(+,o)"

# integrated
Lz, Lyx, I, I err
8, 8, 0.370819, 0.000013
12, 12, 0.368829, 0.000010
16, 16, 0.368365, 0.000007
24, 24, 0.368111, 0.000005
32, 32, 0.368052, 0.000004
48, 48, 0.3680234, 0.0000026
