# paramters
N, 2, rho, 1/4, boundaries, alpha=3pi/4

# integrated
Lz, Lyx, I, I err
8, 32, 0.1715619, 0.0000031
12, 48, 0.1659924, 0.0000023
16, 64, 0.1645367, 0.0000017
24, 96, 0.1637552, 0.0000011
32, 128, 0.1635599, 0.0000012
