# paramters
N, 4, rho, 1, boundaries, alpha=pi/4

# integrated
Lz, Lyx, I, I err
8, 8, 0.368141, 0.000018
12, 12, 0.368034, 0.000013
16, 16, 0.368023, 0.000010
24, 24, 0.368001, 0.000007
32, 32, 0.368013, 0.000005
48, 48, 0.3680110, 0.0000034
