# paramters
N, 2, rho, 1, boundaries, alpha=3pi/4

# integrated
Lz, Lyx, I, I err
8, 8, 0.172038, 0.000007
12, 12, 0.166117, 0.000005
16, 16, 0.164596, 0.000005
20, 20, 0.164027, 0.000005
24, 24, 0.163766, 0.000004
32, 32, 0.163567, 0.000004
48, 48, 0.1634610, 0.0000031
