# paramters
N, 2, rho, 1, boundaries, "(o,o)"

# integrated
Lz, Lyx, I, I err
48, 48, 0.1634158, 0.0000021
32, 32, 0.1634364, 0.0000030
24, 24, 0.163456, 0.000004
16, 16, 0.163561, 0.000006
12, 12, 0.163774, 0.000008
8, 8, 0.164666, 0.000011
