# paramters
N, 4, rho, 1/4, boundaries, alpha=pi

# integrated
Lz, Lyx, I, I err
8, 32, 0.384456, 0.000006
12, 48, 0.373119, 0.000005
16, 64, 0.370212, 0.000004
24, 96, 0.3686823, 0.0000034
32, 128, 0.3682962, 0.0000033
