# paramters
N, 2, rho, 1, boundaries, alpha=3pi/8

# integrated
Lz, Lyx, I, I err
8, 8, 0.164944, 0.000006
12, 12, 0.163890, 0.000005
16, 16, 0.1636139, 0.0000035
24, 24, 0.1634721, 0.0000023
32, 32, 0.1634420, 0.0000028
40, 40, 0.1634252, 0.0000022
