# paramters
N, 2, rho, 1, boundaries, alpha=pi/2

# integrated
Lz, Lyx, I, I err
8, 8, 0.167071, 0.000007
12, 12, 0.164545, 0.000005
16, 16, 0.163897, 0.000006
24, 24, 0.163563, 0.000004
32, 32, 0.163478, 0.000004
40, 40, 0.1634436, 0.0000032
48, 48, 0.1634285, 0.0000027
