# paramters
N, 2, rho, 1/4, boundaries, alpha=pi/2

# integrated
Lz, Lyx, I, I err
8, 32, 0.1667269, 0.0000034
12, 48, 0.1644603, 0.0000026
16, 64, 0.1638701, 0.0000027
24, 96, 0.1635531, 0.0000026
32, 128, 0.1634694, 0.0000019
