# paramters
N, 2, rho, 1/4, boundaries, alpha=pi/4

# integrated
Lz, Lyx, I, I err
8, 32, 0.1630525, 0.0000029
12, 48, 0.1633002, 0.0000023
16, 64, 0.1633602, 0.0000025
24, 96, 0.163399, 0.000004
32, 128, 0.1634063, 0.0000027
