# paramters
N, 4, rho, 1/4, boundaries, alpha=pi/4

# integrated
Lz, Lyx, I, I err
8, 32, 0.367356, 0.000007
12, 48, 0.367821, 0.000005
16, 64, 0.367931, 0.000004
24, 96, 0.3679869, 0.0000034
32, 128, 0.3680043, 0.0000033
