# paramters
N, 2, rho, 1, boundaries, alpha=7pi/8

# integrated
Lz, Lyx, I, I err
8, 8, 0.174144, 0.000012
10, 10, 0.169102, 0.000006
12, 12, 0.166786, 0.000009
16, 16, 0.164880, 0.000006
20, 20, 0.164185, 0.000004
24, 24, 0.163860, 0.000005
32, 32, 0.163603, 0.000005
48, 48, 0.1634699, 0.0000026
