# paramters
N, 3, rho, 1/4, boundaries, "(+,o)"

# integrated
Lz, Lyx, I, I err
8, 32, 0.262568, 0.000006
12, 48, 0.261894, 0.000004
16, 64, 0.2617215, 0.0000032
24, 96, 0.2616290, 0.0000031
32, 128, 0.2616090, 0.0000030
