# paramters
N, 3, rho, 1/4, boundaries, alpha=pi

# integrated
Lz, Lyx, I, I err
8, 32, 0.275129, 0.000006
12, 48, 0.265822, 0.000004
16, 64, 0.2634267, 0.0000034
24, 96, 0.2621483, 0.0000032
32, 128, 0.2618297, 0.0000025
