# paramters
N, 3, rho, 1/4, boundaries, alpha=7pi/24

# integrated
Lz, Lyx, I, I err
8, 32, 0.261655, 0.000005
12, 48, 0.261612, 0.000004
16, 64, 0.2616048, 0.0000030
20, 80, 0.2615894, 0.0000034
24, 96, 0.2615900, 0.0000028
28, 112, 0.2615916, 0.0000024
32, 128, 0.2615876, 0.0000034
