# paramters
N, 3, rho, 1/4, boundaries, alpha=0

# integrated
Lz, Lyx, I, I err
8, 32, 0.259461, 0.000006
12, 48, 0.260934, 0.000005
16, 64, 0.2613012, 0.0000035
24, 96, 0.2615028, 0.0000033
32, 128, 0.2615509, 0.0000032
