# paramters
N, 3, rho, 1/4, boundaries, "(o,o)"

# integrated
Lz, Lyx, I, I err
32, 128, 0.2615847, 0.0000015
24, 96, 0.2615844, 0.0000020
16, 64, 0.2615728, 0.0000015
12, 48, 0.2615457, 0.0000019
10, 40, 0.2615174, 0.0000023
8, 32, 0.2614522, 0.0000028
