# paramters
N, 4, rho, 1/4, boundaries, alpha=5pi/8

# integrated
Lz, Lyx, I, I err
8, 32, 0.376365, 0.000005
12, 48, 0.370602, 0.000005
16, 64, 0.369128, 0.000004
24, 96, 0.3683495, 0.0000034
32, 128, 0.3681580, 0.0000033
