# paramters
N, 3, rho, 1, boundaries, "(+,o)"

# integrated
Lz, Lyx, I, I err
8, 8, 0.263794, 0.000011
12, 12, 0.262246, 0.000008
16, 16, 0.261865, 0.000006
24, 24, 0.261672, 0.000004
32, 32, 0.2616197, 0.0000032
48, 48, 0.2615989, 0.0000021
