# paramters
N, 2, rho, 1, boundaries, alpha=5pi/16

# integrated
Lz, Lyx, I, I err
8, 8, 0.164065, 0.000005
12, 12, 0.163597, 0.000004
16, 16, 0.1634928, 0.0000027
24, 24, 0.1634381, 0.0000020
32, 32, 0.1634243, 0.0000023
40, 40, 0.1634176, 0.0000019
48, 48, 0.1634141, 0.0000015
