# paramters
N, 3, rho, 1, boundaries, "(o,o)"

# integrated
Lz, Lyx, I, I err
8, 8, 0.263467, 0.000009
12, 12, 0.262131, 0.000007
16, 16, 0.261820, 0.000005
24, 24, 0.261660, 0.000004
32, 32, 0.2616124, 0.0000027
48, 48, 0.2615937, 0.0000018
