# paramters
N, 2, rho, 1, boundaries, alpha=pi/8

# integrated
Lz, Lyx, I, I err
8, 8, 0.162333, 0.000006
12, 12, 0.163058, 0.000004
16, 16, 0.1632546, 0.0000032
24, 24, 0.1633637, 0.0000021
32, 32, 0.1633909, 0.0000025
40, 40, 0.1633995, 0.0000020
