# paramters
N, 4, rho, 1/4, boundaries, "(+,o)"

# integrated
8, 32, 0.369096, 0.000007
12, 48, 0.368355, 0.000005
16, 64, 0.368158, 0.000004
24, 96, 0.368060, 0.000004
32, 128, 0.368030, 0.000004
