# paramters
N, 2, rho, 1, boundaries, alpha=pi/4

# integrated
Lz, Lyx, I, I err
8, 8, 0.163339, 0.000005
12, 12, 0.163381, 0.000004
16, 16, 0.1633957, 0.0000029
24, 24, 0.1634095, 0.0000031
32, 32, 0.1634074, 0.0000023
40, 40, 0.1634097, 0.0000026
48, 48, 0.1634091, 0.0000022
