# paramters
N, 3, rho, 1, boundaries, alpha=0

# integrated
Lz, Lyx, I, I err
8, 8, 0.260060, 0.000010
12, 12, 0.261079, 0.000008
16, 16, 0.261373, 0.000008
24, 24, 0.261521, 0.000006
32, 32, 0.261561, 0.000006
40, 40, 0.261575, 0.000004
