N, Lz, Lyx, rho, boundaries
2, 16.5, 64, 1/4, "(o,o)"

# boundary values, scaling correction and correlation length
I(beta_0), I(beta_0) err, I_bulk(beta_0), I_bulk(beta_0) err, c, c err, xi_0, xi_0 err
0.131989, 0.000004, 0.1319847, 0.0000021, 0.5, 0.4, 0.411, 0.005

# internal energies and Casimir amplitude
beta, internal energy Lz=16, internal energy err Lz=16, internal energy Lz=17, internal energy err Lz=17, theta, theta err
0.46874988,0.67262743700226,0.0000169259242706314,0.6740601730542396,0.000015150204509314816, 0.019652, 0.024604136823713207
0.46924988,0.6742602240254473,0.00001708903078111112,0.6757221034400863,0.000014975012474869223, 0.019638325482033262, 0.024615034711972843
0.46974988,0.6758869594680151,0.000017176897578077364,0.6773516026321501,0.0000149497803695668, 0.019888213759505717, 0.02464004275183245
0.47024988,0.6775225349460163,0.0000170742270058653,0.679021706950413,0.000015407008133993824, 0.020611706292937237, 0.02465857091430502
0.47074988,0.6792329685281755,0.000017737580247107012,0.6807253727307655,0.000015315474771333936, 0.021629553475160712, 0.024685873622990344
0.47124988,0.6808606308075422,0.000017539368725339804,0.6823442591420344,0.000015433853029787448, 0.021889305237252556, 0.024704302897451357
0.47174988,0.6826098931640425,0.000017722917163481962,0.6840668128239568,0.000016161617363554467, 0.021080152255901367, 0.024725432498193898
0.47224988,0.684236400511576,0.000017541087424506325,0.6857646868273863,0.000015650392996639992, 0.021073503296898548, 0.024742898241936255
0.47274988,0.6859312670259069,0.00001757330572884392,0.6874294021153436,0.00001547765687392282, 0.021550003132766952, 0.024769738157551322
0.47324988,0.687672410575427,0.000017651533661081936,0.6891723374852027,0.00001598560637466671, 0.020517864308602803, 0.024780744827614113
0.47374988,0.6893552704366067,0.000018001404098199814,0.6909271428241056,0.00001598212639056887, 0.020604807100213358, 0.02480455909502899
0.47424988,0.6910909842633131,0.000017895885252280623,0.6926102380230151,0.000015972448159320163, 0.020526866781842686, 0.024821816725547605
0.47474988,0.6928290415263871,0.00001816407554678001,0.6944241457110486,0.00001614113440507253, 0.020543722047142065, 0.024847791346621823
0.47524988,0.6945463787989867,0.00001822144172752297,0.6961137848406632,0.000016291048484861647, 0.021467061039021195, 0.024869572068797627
0.47574988,0.6962981989922012,0.000018101205006756266,0.6978629506678211,0.000016260227383986596, 0.021379323581270596, 0.0248958123275314
0.47624988,0.6981116584435751,0.00001826340907156222,0.6996879783198334,0.000016270509453869382, 0.02121897373722303, 0.024913649477729668
0.47674988,0.6998588204405083,0.00001877053396669132,0.7014617468255623,0.00001659928562962636, 0.021409556843476077, 0.024939633571828577
0.47724988,0.7016328711956581,0.000018833340769760965,0.7032418006186348,0.000016656047035507116, 0.02185542536520775, 0.024959370556061837
0.47774988,0.7034633390721916,0.000018372747953022783,0.7050765445940672,0.000016590889126272606, 0.022163808335324553, 0.02498914776954777
0.47824988,0.7052736679656426,0.0000190353205232617,0.7068420376947936,0.000016678655988763603, 0.020785321631282577, 0.02500379715329441
0.47874988,0.7070904268454103,0.000019370413326426903,0.7087278182359341,0.000016792543515035575, 0.019463592320184298, 0.025027513900760336
0.47924988,0.7089338013593501,0.00001886837508104846,0.7105148164060973,0.000016811393212252664, 0.0180795421948503, 0.025042263225915982
0.47974988,0.7107583386583183,0.000019510146491656175,0.7123930818009764,0.000016797475175090907, 0.0161961272022709, 0.025063102844150784
0.48024988,0.7126148778127387,0.000019245887183097006,0.7142913856798144,0.00001701855544971359, 0.016192417931192853, 0.025082596778559188
0.48074988,0.7144825876390443,0.00001952413089268176,0.7161833628052222,0.000017266994061397833, 0.017067654017116185, 0.025112237296215558
0.48124988,0.716334494006591,0.000019025883580724688,0.7180512193745417,0.000017401855053651826, 0.018302411931835107, 0.025136056471248384
0.48174988,0.7182794448238082,0.00001949280727741849,0.7199728116680036,0.000017336057997536066, 0.018943393833586633, 0.025171513607126623
0.48224988,0.720178566381115,0.000020117913232316907,0.7219069210676341,0.00001793386267334294, 0.01954504751605313, 0.02520011777826015
0.48274988,0.7221015484695407,0.000020105061793911508,0.7237787700751578,0.00001766509488469542, 0.01924721199141309, 0.025230376552158127
0.48324988,0.7240041419619883,0.000019744795627528575,0.7257501494940057,0.000017739174839058952, 0.018670905120515967, 0.025248573613192982
0.48374988,0.725942545742038,0.000019656229732620313,0.7277242948337669,0.000017748782135299682, 0.019691231806462962, 0.025283004585392337
0.48424988,0.7279363494339792,0.000020321214405424,0.7296783856574897,0.00001799504816616604, 0.019671999561725283, 0.025302406959770492
0.48474988,0.7298615926695633,0.00002074846629719423,0.7316827578567487,0.00001798540049945709, 0.019959192144675317, 0.025334586870222
0.48524988,0.7319434590386645,0.00002065575854065116,0.7336821543072537,0.000018304187827738968, 0.019597594550683044, 0.02535334986139984
0.48574988,0.7339187864443666,0.00002101057102604612,0.7357008791837246,0.000018178193332350984, 0.017966389985395955, 0.02537862640906152
0.48624988,0.7359662105537178,0.000020576998542107582,0.7377295826628223,0.000018220580525929938, 0.016431508553493283, 0.025394272266110695
0.48674988,0.7379594384271523,0.000020593645312878875,0.7397792729033777,0.000018445473020623315, 0.015081643022121553, 0.02541738974629631
0.48724988,0.7399840131470992,0.0000207421645788931,0.7418412061490722,0.000018742362257950577, 0.015526871436646716, 0.02543650683135285
0.48774988,0.742089447837088,0.00002148670653345837,0.7439107623567238,0.00001845744363358784, 0.015400479194429047, 0.02546960898384615
0.48824988,0.7441478016420608,0.000021546212902019426,0.7460362248665872,0.000019081312518553946, 0.015267626910306822, 0.025497251906072948
