Delta, L, N, lambda, system
2.5, 192, 2, 2.15, bulk

beta, internal energy, internal energy err
0.49874988,0.8316159164329052,0.000013559344622265134
0.49899988,0.8331519798258193,0.000012816490013105773
0.49924988,0.8347221981084997,0.00001708220145090084
0.49949988,0.8362551267113566,0.00001214175675258047
0.49974988,0.8378676192986956,0.000014931274654675877
0.49999988,0.8394259043838287,0.00001400462936107542
0.50024988,0.8410068407226299,0.000015663913735768495
0.50049988,0.8425941926030533,0.000013975061919855976
0.50074988,0.8442648919529003,0.0000171028130249171
0.50099988,0.8458901629127862,0.000017036793367408744
0.50124988,0.84756067841095,0.000014299868490981522
0.50149988,0.8492059031178107,0.000015064233628552702
0.50174988,0.8509474846553358,0.000014520666699637918
0.50199988,0.8526405438253389,0.000015790226060669258
0.50224988,0.8543605630767682,0.000020398465421848312
0.50249988,0.8561116462980399,0.00001691284939874841
0.50274988,0.857889522333638,0.000015563179349997913
0.50299988,0.8596637732183512,0.000015324856308356743
0.50324988,0.8615159989936797,0.000014640768539292787
0.50349988,0.8633471410479802,0.000017138270979634992
0.50374988,0.8651877141687949,0.000014648493037573446
0.50399988,0.8670849717555503,0.000014945198106259377
0.50424988,0.8690212093929361,0.000017327117285663378
0.50449988,0.8709535956517798,0.00001799827108901105
0.50474988,0.8729191152109541,0.000018144840565554685
0.50499988,0.8748894633056291,0.000016888118225535168
0.50524988,0.8769996162090189,0.000025145579451527522
0.50549988,0.8790965459378464,0.000020197609422633973
0.50574988,0.8812064328130398,0.000018393206322270922
0.50599988,0.8833297903914934,0.000016544221584527754
0.50624988,0.8856336934535959,0.000018261185153994784
0.50649988,0.8878627333394848,0.00001981124474953145
0.50674988,0.8902393036481476,0.000018634979434922758
0.50699988,0.8926029547858996,0.000018580039012770335
0.50724988,0.895060653287819,0.00001610004163756484
0.50749988,0.8976251030708673,0.00002482917283341865
0.50774988,0.9002927456701406,0.000021708656658867296
0.50799988,0.903109746733311,0.00001990404611816058
0.50824988,0.9061907141144497,0.000018277756146389316
0.50849988,0.9095781915787242,0.000021225324177927992
0.50874988,0.9141205938491448,0.000019564259385753925
0.50899988,0.9195956388792657,0.000023136956194903814
0.50924988,0.9248040356118665,0.000018114367210856208
0.50949988,0.9298549396024868,0.00001631417749021543
0.50974988,0.934717872154523,0.000015996039024294972
0.50999988,0.9393971553324311,0.000014274513421920966
0.51024988,0.9440168543430469,0.000016784942482359294
0.51049988,0.9485841701477108,0.000016330692453587476
0.51074988,0.953016928914234,0.000016107602373821407
0.51099988,0.9573905315039899,0.000016177452176647943
0.51124988,0.9617082435449985,0.000014723608370505815
0.51149988,0.9659627363574619,0.000014006667133166995
0.51174988,0.9702017086458562,0.000015474708114614947
0.51199988,0.9743546280063591,0.0000123673717782348
0.51224988,0.9784915914643703,0.000014566410816724313
0.51249988,0.9825742746745633,0.000013966003257571247
0.51274988,0.986593195096423,0.00001497168105104089
0.51299988,0.9905854534555907,0.000013607754051161999
0.51324988,0.9945841871978061,0.000013912568959566548
0.51349988,0.998538683997685,0.000014780427420403935
0.51374988,1.002419735943734,0.000014120843359673564
0.51399988,1.0063159968918025,0.000014189518099712915
0.51424988,1.0101609068858954,0.000015971947884645578
0.51449988,1.013973326248693,0.000014640120461728134
0.51474988,1.0177630938077453,0.000014155807786356018
0.51499988,1.0215558346610607,0.00001397704448550067
0.51524988,1.0252814632357323,0.000014166534311292235
0.51549988,1.0290515951523305,0.000014304223704299333
0.51574988,1.0327513806497883,0.000014224390116463085
0.51599988,1.0364230513344723,0.000013083610859131414
0.51624988,1.0400396735222814,0.000013536498723083678
0.51649988,1.0437076601545516,0.000013790698942896953
0.51674988,1.0473106263598793,0.000013790864546588814
0.51699988,1.0509169475259692,0.000013276826578678274
0.51724988,1.0544991239704704,0.000012804784489457007
0.51749988,1.0580201702589018,0.000011794423876418619
0.51774988,1.0615611304387567,0.000012124367003241395
0.51799988,1.0650943966781197,0.00001303515520528291
0.51824988,1.0686089592013543,0.000013551804521360238
0.51849988,1.0720837487240096,0.000011776564654012487
