N, Lz, Lyx, rho, boundaries
3, 16.5, 16, 1, "(o,o)"

# boundary values and scaling correction and correlation length
I(beta_0), I(beta_0) err, I_bulk(beta_0), I_bulk(beta_0) err, c, c err, xi_0, xi_0 err
0.200711, 0.000006, 0.200707, 0.000004, 0.42, 0.09, 0.411, 0.005

# internal energies and Casimir amplitude
beta, internal energy Lz=16, internal energy err Lz=16, internal energy Lz=17, internal energy err Lz=17, theta, theta err
0.61798521,0.7407171823397259,0.00001706500029349411, 0.7421995871209788,0.000016561861548878327, 0.019375863552000005, 0.03390917086441262
0.61848521,0.7419009665809814,0.000017339179849984932, 0.7433276984155143,0.000016598306882729067, 0.019559681365887163, 0.03391775316227895
0.61898521,0.7430223167795443,0.000017282629230360817, 0.7444975124681488,0.000016879906328073825, 0.019421332378729898, 0.03393645974472768
0.61948521,0.7442011015337983,0.00001742686944385253, 0.7456910366414887,0.00001684006195800694, 0.020786801131415848, 0.0339490924455613
0.61998521,0.7453584034381362,0.000017403106410138296, 0.7468282414524229,0.00001672383473517074, 0.021866030529891643, 0.033967414352471366
0.62048521,0.7464875960321992,0.000017253197521780882, 0.7479621990481357,0.000016670645475853612, 0.022368522455618715, 0.033979569025877426
0.62098521,0.7476387041103126,0.000017447532916622273, 0.7491111290134282,0.000016959511065240293, 0.022713541439996536, 0.03399724324771308
0.62148521,0.7487454406641209,0.000017493413207128646, 0.7502391351645402,0.000016868558292856754, 0.023183851306889852, 0.03400984898076114
0.62198521,0.7499994208530814,0.000017510212370818153, 0.7514815405151326,0.000016908656406305905, 0.02363755957192259, 0.03402806656740183
0.62248521,0.7510956003462365,0.000017359948347078493, 0.7526633800528807,0.000016983127485259538, 0.025965810887235326, 0.034040729283476644
0.62298521,0.7523237471980382,0.000017361070080581636, 0.7538228742355952,0.00001709106044599902, 0.028508715485798378, 0.03405907217524615
0.62348521,0.7534930308693766,0.000017363487484550922, 0.7550139800588379,0.000017154036612295104, 0.029412983123676587, 0.03407108436431022
0.62398521,0.7546797918749338,0.000017630671476124756, 0.7562071931051012,0.000016820188461240352, 0.03066441692815345, 0.034088222574463305
0.62448521,0.7558901328551236,0.000017714227361874723, 0.7573633526813011,0.00001717956649643732, 0.03033224565036133, 0.0341000411276579
0.62498521,0.757051488819285,0.000017716239556288104, 0.7585726525592422,0.000017071631177690862, 0.029635794424464415, 0.034119848148971954
0.62548521,0.7582402546460056,0.000017692996789359233, 0.7597588896509504,0.000016974709874828388, 0.0300254936018469, 0.03413252431534972
0.62598521,0.759445560876138,0.00001767479652700267, 0.7609604478334507,0.000017186345792431203, 0.030111375992409695, 0.03414912378371092
0.62648521,0.7606831797569851,0.000017921327226450282, 0.7621613522540169,0.000016961702920456033, 0.02882087460664931, 0.03416064682326382
0.62698521,0.7618599834916149,0.000017523720407448402, 0.7634124468323262,0.00001736561498206837, 0.02813188296070286, 0.03417806398253103
0.62748521,0.7630282360484055,0.00001786110300398095, 0.7646227836950441,0.000017230041879467992, 0.030164338309867353, 0.03418979250128856
0.62798521,0.764248829946551,0.000017590948876173204, 0.7658080407145932,0.00001716695700474045, 0.03212584357269454, 0.03420842527583431
0.62848521,0.7654818728918491,0.00001755089310271897, 0.7670544052013647,0.00001742191561352051, 0.03347521511961296, 0.034222142493648515
0.62898521,0.7666946488743502,0.000017911272125129293, 0.7682154474816464,0.000017342372592465803, 0.03375349230557301, 0.03424138115924871
0.62948521,0.7679340040399437,0.000017882515645780048, 0.7695010835175962,0.000017470622135503657, 0.03347623267651645, 0.03425266458436486
0.62998521,0.7691614071959274,0.000017934483166929143, 0.7707651573772489,0.0000173973210101521, 0.03476065498923298, 0.03427055922200302
0.63048521,0.7703593929198757,0.00001791424399700375, 0.7719751968939476,0.00001749269594678167, 0.036674788989490135, 0.03428525769244778
0.63098521,0.7715592195444263,0.00001795310627027038, 0.7732073062876083,0.000017609366807987078, 0.03916753930607819, 0.03430549557222325
0.63148521,0.7728296835609302,0.000018185785361074787, 0.7744425207674261,0.000017578836633548017, 0.04123309964008017, 0.03432134808641759
0.63198521,0.7740750247474908,0.00001814335993121983, 0.7757065156390041,0.000017593003555702806, 0.04280270091634991, 0.03434357573044274
0.63248521,0.7753512955666182,0.000018105779823312174, 0.7769334261429621,0.00001762575206434376, 0.04354667998358448, 0.03435846592448457
0.63298521,0.7766127065682772,0.000018121492752763365, 0.7782202972885968,0.000017645823562669912, 0.04359680437223968, 0.03437964833775559
0.63348521,0.777868861232215,0.000018206640271845767, 0.7794575145647462,0.000017646661594893477, 0.043732222381134264, 0.034392352816894844
0.63398521,0.7790919742006849,0.0000182967754694713, 0.7807044476940929,0.000017623553514328597, 0.04372754668754028, 0.03441258681496415
0.63448521,0.7803659515480714,0.000018275441878679498, 0.7820356853929071,0.000017730790907859338, 0.04546933700198637, 0.034426843909099454
0.63498521,0.7816254642650345,0.00001813626977638659, 0.7832683178116818,0.000017789315606812906, 0.04758576115861979, 0.034446963113977616
0.63548521,0.7828896037016727,0.00001831568922191503, 0.7845450481838527,0.00001775706469638387, 0.048887914067211505, 0.03446177918531928
0.63598521,0.7841700301164063,0.000018302716613733044, 0.7858239452489431,0.00001782126002886808, 0.0501869230386835, 0.03448276833710679
0.63648521,0.7854584092860712,0.000018420550649968128, 0.7871369092685104,0.000017595268701552914, 0.0519234458587426, 0.0344986241147762
0.63698521,0.7867766440265509,0.000018313458364920657, 0.7884214345560542,0.000017599892923998866, 0.0532284476789775, 0.03452039715242236
